Year,fossil emissions excluding carbonation,land-use change emissions,atmospheric growth,ocean sink,land sink,cement carbonation sink,budget imbalance
1750,0.002552,,0,,0.097647059,,
1751,0.002552,,-0.07434,,-0.503529412,,
1752,0.002553,,-0.0707292,,-0.232941176,,
1753,0.002553,,-0.0677556,,-0.294705882,,
1754,0.002554,,-0.0641448,,0.080588235,,
1755,0.002555,,-0.05841,,-0.008823529,,
1756,0.002731,,-0.0503388,,0.327058824,,
1757,0.002732,,-0.0405684,,0.512352941,,
1758,0.002733,,-0.0282492,,-0.121764706,,
1759,0.002734,,-0.0144432,,-0.494705882,,
1760,0.002734,,0.0019116,,0.171764706,,
1761,0.002995,,0.020178,,-0.637647059,,
1762,0.002996,,0.0405684,,-0.770588235,,
1763,0.002997,,0.0628704,,0.597647059,,
1764,0.002998,,0.0875088,,0.440588235,,
1765,0.002999,,0.112572,,-0.289411765,,
1766,0.003346,,0.1357236,,0.201176471,,
1767,0.003347,,0.156114,,0.315882353,,
1768,0.003348,,0.1748052,,0.421764706,,
1769,0.003349,,0.19116,,-0.011764706,,
1770,0.00335,,0.204966,,0.157058824,,
1771,0.003715,,0.216648,,-0.32,,
1772,0.003716,,0.2264184,,-0.192941176,,
1773,0.003717,,0.23364,,-0.099411765,,
1774,0.003718,,0.2387376,,0.164117647,,
1775,0.003719,,0.2429856,,0.055882353,,
1776,0.004104,,0.2489328,,0.454117647,,
1777,0.004105,,0.257004,,0.656470588,,
1778,0.004106,,0.266562,,0.002941176,,
1779,0.004107,,0.278244,,-0.287058824,,
1780,0.004109,,0.29205,,0.402352941,,
1781,0.004597,,0.315414,0.07433,-0.410588235,,
1782,0.004598,,0.3489732,0.082155,-0.558235294,,
1783,0.0046,,0.3795588,0.08952,0.745882353,,
1784,0.004601,,0.406746,0.10207,0.77,,
1785,0.004604,,0.4303224,0.104205,-0.053529412,,
1786,0.005227,,0.450288,0.11673,0.392352941,,
1787,0.005229,,0.4666428,0.12393,0.478235294,,
1788,0.00523,,0.4795992,0.131105,0.678235294,,
1789,0.005232,,0.4889448,0.13301,0.153529412,,
1790,0.005234,,0.4944672,0.14019,0.406470588,,
1791,0.005846,,0.4968036,0.147095,-0.154705882,,
1792,0.005976,,0.4953168,0.14901,0.140588235,,
1793,0.005981,,0.4902192,0.15568,0.084705882,,
1794,0.005972,,0.4817232,0.15749,0.429411765,,
1795,0.005975,,0.4698288,0.163805,0.367647059,,
1796,0.006264,,0.455598,0.164995,0.758823529,,
1797,0.006576,,0.4400928,0.1658,0.958823529,,
1798,0.006849,,0.4228884,0.16673,0.218823529,,
1799,0.007213,,0.4027104,0.167235,0.05,,
1800,0.007667,,0.381258,0.17277,0.688235294,,
1801,0.007631,,0.3623544,0.173235,-0.163529412,,
1802,0.010039,,0.343026,0.173365,-0.307647059,,
1803,0.008594,,0.3224232,0.17367,0.891764706,,
1804,0.009364,,0.3009708,0.17359,0.858235294,,
1805,0.009121,,0.2778192,0.17356,0.111764706,,
1806,0.009565,,0.253818,0.173505,0.52,,
1807,0.010064,,0.2287548,0.173135,0.59,,
1808,0.00957,,0.2022048,0.17295,0.805882353,,
1809,0.009577,,0.1748052,0.17259,0.284117647,,
1810,0.010202,,0.1459188,0.17252,0.402352941,,
1811,0.010803,,0.1159704,0.16692,-0.15,,
1812,0.011192,,0.08496,0.16627,0.175294118,,
1813,0.01125,,0.0526752,0.165735,0.103529412,,
1814,0.011498,,0.0193284,0.16021,0.400588235,,
1815,0.011869,,-0.0146556,0.15963,0.344117647,,
1816,0.013009,,-0.0443916,0.15875,0.675294118,,
1817,0.013491,,-0.0677556,0.15806,0.794117647,,
1818,0.013549,,-0.08496,0.15751,0.073529412,,
1819,0.013632,,-0.0957924,0.15205,-0.188235294,,
1820,0.013834,,-0.1000404,0.15117,0.559411765,,
1821,0.014038,,-0.0983412,0.15066,-0.346470588,,
1822,0.014592,,-0.0898452,0.149595,-0.521764706,,
1823,0.015434,,-0.0756144,0.144045,0.759411765,,
1824,0.015973,,-0.0545868,0.14338,0.652352941,,
1825,0.016582,,-0.0271872,0.14237,-0.037647059,,
1826,0.016763,,0.0061596,0.14153,0.400588235,,
1827,0.01799,,0.0431172,0.1408,0.471764706,,
1828,0.018187,,0.0683928,0.140145,0.585882353,,
1829,0.018121,,0.0883584,0.13505,0.097058824,,
1830,0.024324,,0.1066248,0.13455,0.311176471,,
1831,0.02307,,0.1225548,0.134,-0.271176471,,
1832,0.023229,,0.1367856,0.13352,-0.102941176,,
1833,0.023692,,0.1488924,0.13358,-0.08,,
1834,0.02415,,0.1609992,0.1337,0.222941176,,
1835,0.024685,,0.1796904,0.133975,0.187058824,,
1836,0.028596,,0.2056032,0.13412,0.543529412,,
1837,0.028573,,0.2374632,0.134745,0.828235294,,
1838,0.029488,,0.2746332,0.13561,0.082941176,,
1839,0.030462,,0.3166884,0.136535,-0.252941176,,
1840,0.032459,,0.3619296,0.132865,0.51,,
1841,0.033466,,0.409932,0.13897,-0.321764706,,
1842,0.035345,,0.4553856,0.140425,-0.468823529,,
1843,0.036259,,0.4804488,0.14147,0.843529412,,
1844,0.038598,,0.4802364,0.14274,0.818823529,,
1845,0.042361,,0.4570848,0.14418,0.048235294,,
1846,0.043066,,0.4222512,0.150135,0.457647059,,
1847,0.047053,,0.3778596,0.15123,0.571176471,,
1848,0.047439,,0.3234852,0.1572,0.824117647,,
1849,0.050085,,0.2597652,0.15831,0.302941176,,
1850,0.053738,0.69255852,0.1892484,0.164195,0.341764706,,0.051088414
1851,0.054259,0.713684762,0.1255284,0.165485,-0.215294118,,0.69222448
1852,0.056646,0.724420759,0.0696672,0.171645,0.082941176,,0.456813382
1853,0.059282,0.737743714,0.0097704,0.172905,0.065882353,,0.548467962
1854,0.069634,0.745178594,-0.0390816,0.17432,0.355294118,,0.324280077
1855,0.071006,0.749752527,-0.0635076,0.18083,0.265294118,,0.438142009
